
ID: 2, Название игрушки: Кошка, количество: 9, вес 30
ID: 2, Название игрушки: Кошка, количество: 9, вес 30
ID: 1, Название игрушки: Пикачу, количество: 4, вес 50
ID: 1, Название игрушки: Пикачу, количество: 3, вес 50
ID: 1, Название игрушки: Пикачу, количество: 2, вес 50
ID: 2, Название игрушки: Кошка, количество: 8, вес 30
ID: 2, Название игрушки: Кошка, количество: 7, вес 30
ID: 1, Название игрушки: Пикачу, количество: 1, вес 50
ID: 2, Название игрушки: Кошка, количество: 6, вес 30
ID: 2, Название игрушки: Кошка, количество: 5, вес 30
ID: 1, Название игрушки: Пикачу, количество: 0, вес 50
ID: 1, Название игрушки: Пикачу, количество: 4, вес 50
ID: 2, Название игрушки: Кошка, количество: 9, вес 30
ID: 1, Название игрушки: Пикачу, количество: 3, вес 50
ID: 1, Название игрушки: Пикачу, количество: 2, вес 50
ID: 1, Название игрушки: Пикачу, количество: 1, вес 50
ID: 1, Название игрушки: Пикачу, количество: 0, вес 50
ID: 3, Название игрушки: Енот, количество: 9, вес 10
